,name,affiliation,homepage,scholarid,citedby,Research Interests,Google Scholar Link,url_picture
856,Alvaro A. Cárdenas,University of Texas at Dallas,http://www.utdallas.edu/~alvaro.cardenas,zbubH9oAAAAJ,7306,"['Cyber-Physical Systems Security', 'Intrusion Detection', 'IoT Security & Privacy']",https://scholar.google.com/citations?user=zbubH9oAAAAJ&hl=en,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=zbubH9oAAAAJ&citpid=2
857,Alvaro Adolfo Antunes Fernandes,University of Manchester,http://www.cs.man.ac.uk/~alvaro,49SnpokAAAAJ,3398,"['Databases', 'Query Processing', 'Sensor Networks', 'Information Integration']",https://scholar.google.com/citations?user=49SnpokAAAAJ&hl=en,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=49SnpokAAAAJ&citpid=5
858,Alvaro Cardenas,University of Texas at Dallas,http://www.utdallas.edu/~alvaro.cardenas,zbubH9oAAAAJ,7306,"['Cyber-Physical Systems Security', 'Intrusion Detection', 'IoT Security & Privacy']",https://scholar.google.com/citations?user=zbubH9oAAAAJ&hl=en,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=zbubH9oAAAAJ&citpid=2
859,Alvin Cheung,Univ. of California - Berkeley,https://homes.cs.washington.edu/~akcheung,NOSCHOLARPAGE,,,,
860,Alvin R. Lebeck,Duke University,https://users.cs.duke.edu/~alvy,6s2hs3oAAAAJ,7277,"['Computer Architecture', 'Computer Systems']",https://scholar.google.com/citations?user=6s2hs3oAAAAJ&hl=en,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=6s2hs3oAAAAJ&citpid=1
861,Alvin S. Lim,Auburn University,http://www.eng.auburn.edu/~lim,8yA8n4sAAAAJ,2694,"['Self-organizing sensor-actuator networks', 'mobile and pervasive computing', 'wireless networks', 'reliable and dynamically reconfigur']",https://scholar.google.com/citations?user=8yA8n4sAAAAJ&hl=en,
862,Alvin W. Y. Su,National Cheng Kung University,http://www.csie.ncku.edu.tw/ncku_csie/depmember/teacherdetail/id/12,NOSCHOLARPAGE,,,,
863,Alvitta Ottley,Washington University in St. Louis,http://www.cse.wustl.edu/~alvitta/index.html,yepPD_cAAAAJ,554,"['Visualization', 'Human-Computer Interaction']",https://scholar.google.com/citations?user=yepPD_cAAAAJ&hl=en,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=yepPD_cAAAAJ&citpid=4
864,Alwen Fernanto Tiu,Australian National University,https://cecs.anu.edu.au/people/alwen-tiu,92pa9z8AAAAJ,2091,"['Logic', 'proof theory', 'process calculus', 'theorem proving', 'computer security']",https://scholar.google.com/citations?user=92pa9z8AAAAJ&hl=en,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=92pa9z8AAAAJ&citpid=2
865,Alwen Tiu,Australian National University,https://cecs.anu.edu.au/people/alwen-tiu,92pa9z8AAAAJ,2091,"['Logic', 'proof theory', 'process calculus', 'theorem proving', 'computer security']",https://scholar.google.com/citations?user=92pa9z8AAAAJ&hl=en,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=92pa9z8AAAAJ&citpid=2
